Employee_ID,State,Gender,Base_Rate,Reg_Wage,Reg_Hour,Bonus_Wage,Bonus_Hour,Overtime_Wage,Overtime_Hour
1,CA,F,19,6450,80,0,0,0,0
2,CA,M,12,13969,110,14000,0,0,0
3,AL,M,14,12507,130,0,0,0,0
4,NY,M,12,9810,130,0,0,0,0
5,CA,M,24,13527,130,0,0,1700,10
6,CA,F,17.5,7571,110,0,0,1380,10
7,CA,F,14,11815,80,0,0,0,0
8,UT,M,22,8622,110,0,0,0,0
9,CA,F,20,7094,150,0,0,2390,20
10,CA,F,20,12182,130,3000,0,0,0
11,AZ,M,15,14894,80,0,0,0,0
12,AZ,M,12,9963,150,2500,0,0,0
13,CA,M,12,7053,120,0,0,0,0
14,CA,M,22,10584,130,0,0,0,0
15,CA,M,12,7025,150,0,0,0,0
16,CA,F,22,11611,80,0,0,0,0
17,CA,M,22,6466,80,0,0,3980,40
18,UT,F,22,14607,80,0,0,0,0
,,,,,,,,,
,,,,,,,,,
