Employee_ID,State,Gender,Base_Rate,Sum_Wage,Sum_Hour
1,AZ,NA,18,12929,110
2,CA,M,22,12031,130
3,CA,M,12.5,16858,80
4,CA,M,25,12751,130
5,NY,F,22,17276,80
6,CA,F,22,16390,80
7,CA,M,14,7538,80
8,NY,M,14,6721,80
9,CA,M,28,10997,130
10,IN,F,22,11403,130
11,CA,M,17.5,14085,80
12,IN,M,26,7921,150
13,CA,NA,12,2396,80
14,NY,M,22,16594,110
15,CA,M,12,5053,130
16,CA,M,17,4667,130
17,CA,F,16,4520,110
18,CA,M,25,18824,130
19,TX,F,14,19490,80
20,CA,M,12.5,15751,80
21,NA,M,14,12126,80
22,CA,F,12,2283,40
23,CA,M,19,16107,130
24,CA,M,15,8270,130
25,CA,F,22,16501,130
26,CA,F,26,14682,150
27,AL,M,14,2844,80
28,NA,F,18,10102,80
29,CA,F,22,15530,80
30,AZ,NA,22,14682,80
